"Date","Friendly date","Repo name","Repo URL","PR title","PR URL"
2015-02-09T14:35:58Z,"Feb 9, 2015, 2:35 PM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Track flash messages in analytics",/alphagov/publisher/pull/366
2015-02-09T11:16:58Z,"Feb 9, 2015, 11:16 AM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Only save when the save button is visible and enabled",/alphagov/publisher/pull/365
2015-02-05T12:44:03Z,"Feb 5, 2015, 12:44 PM GMT","alphagov/govuk_admin_template",https://github.com/alphagov/govuk_admin_template,"Fix SASS deprecation warnings",/alphagov/govuk_admin_template/pull/58
2015-02-03T14:35:45Z,"Feb 3, 2015, 2:35 PM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Tweak tab tracking to pass in tab href",/alphagov/publisher/pull/364
2015-02-03T11:59:09Z,"Feb 3, 2015, 11:59 AM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Track edition interactions",/alphagov/publisher/pull/363
2015-02-02T11:49:50Z,"Feb 2, 2015, 11:49 AM GMT","alphagov/whitehall",https://github.com/alphagov/whitehall,"Hide 'more like this' when there are none",/alphagov/whitehall/pull/1959
2015-02-02T11:52:57Z,"Feb 2, 2015, 11:52 AM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Make ajax tests more rugged",/alphagov/publisher/pull/362
2015-01-30T06:16:57Z,"Jan 30, 2015, 6:16 AM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Improve behaviour of ajax saving",/alphagov/publisher/pull/361
2015-01-29T10:40:57Z,"Jan 29, 2015, 10:40 AM GMT","alphagov/govuk_admin_template",https://github.com/alphagov/govuk_admin_template,"Upgrade Bootstrap to 3.3.2",/alphagov/govuk_admin_template/pull/57
2015-01-27T17:00:52Z,"Jan 27, 2015, 5:00 PM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Improve auto generation of slugs",/alphagov/publisher/pull/359
2015-01-29T09:47:55Z,"Jan 29, 2015, 9:47 AM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Save editions using ajax",/alphagov/publisher/pull/358
2015-01-23T13:36:36Z,"Jan 23, 2015, 1:36 PM GMT","alphagov/govuk_content_models",https://github.com/alphagov/govuk_content_models,"Release 28.3.0",/alphagov/govuk_content_models/pull/286
2015-01-23T13:26:40Z,"Jan 23, 2015, 1:26 PM GMT","alphagov/govuk_content_models",https://github.com/alphagov/govuk_content_models,"Show clash between primary topic and additional topic as an error against a field",/alphagov/govuk_content_models/pull/285
2015-02-02T12:11:59Z,"Feb 2, 2015, 12:11 PM GMT","alphagov/publisher",https://github.com/alphagov/publisher,"Alter expand/collapse text when adding/removing parts",/alphagov/publisher/pull/357
